Instrument,Date,Time,Record Type,Price,Volume,Value,Bid Price,Bid Size,Ask Price,Ask Size,Midpoint Price,Spread,Relative Spread,Qualifiers
"WOW","2016-05-02","10:14:21.593","TRADE","22.100","115","2541.5","","","","","22.1","","","Si"
"WOW","2016-05-02","10:14:21.593","TRADE","22.100","257","5679.7","","","","","22.1","","","Si"
"WOW","2016-05-02","10:14:21.593","TRADE","22.100","37","817.7","","","","","22.1","","","Si"
"WOW","2016-05-02","10:14:21.593","TRADE","22.100","147","3248.7","","","","","22.1","","","Si"
"WOW","2016-05-02","10:14:25.798","TRADE","22.100","4","88.4","","","","","22.1","","","Si"
"WOW","2016-05-02","10:14:26.840","TRADE","22.100","130","2873","","","","","22.1","","","Si"
"WOW","2016-05-02","10:14:26.840","TRADE","22.100","256","5657.6","","","","","22.1","","","Si"
"WOW","2016-05-02","10:14:26.854","TRADE","22.100","386","8530.6","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:14:26.854","TRADE","22.100","40","884","","","","","22.1","","","Si"
"WOW","2016-05-02","10:14:29.114","TRADE","22.090","3","66.27","","","","","22.09","","","Si"
"WOW","2016-05-02","10:14:29.114","TRADE","22.090","497","10978.73","","","","","22.09","","","Si"
"WOW","2016-05-02","10:14:30.347","TRADE","22.090","257","5677.13","","","","","22.09","","","Si"
"WOW","2016-05-02","10:14:42.377","TRADE","22.090","133","2937.97","","","","","22.09","","","Si"
"WOW","2016-05-02","10:14:42.377","TRADE","22.090","71","1568.39","","","","","22.09","","","Si"
"WOW","2016-05-02","10:14:42.377","TRADE","22.090","35","773.15","","","","","22.09","","","Si"
"WOW","2016-05-02","10:14:47.011","OFFTR","22.100","18","397.8","","","","","","","","NX XT"
"WOW","2016-05-02","10:14:47.961","TRADE","22.090","33","728.97","","","","","22.09","","","Si"
"WOW","2016-05-02","10:14:56.016","TRADE","22.090","36","795.24","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:06.365","TRADE","22.090","400","8836","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:06.365","TRADE","22.090","46","1016.14","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:06.365","TRADE","22.090","241","5323.69","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:06.365","TRADE","22.090","29","640.61","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:06.365","TRADE","22.090","15","331.35","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:06.365","TRADE","22.090","236","5213.24","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:06.977","TRADE","22.100","175","3867.5","","","","","22.1","","","Si"
"WOW","2016-05-02","10:15:07.732","TRADE","22.100","11","243.1","","","","","22.1","","","Si"
"WOW","2016-05-02","10:15:07.732","TRADE","22.100","127","2806.7","","","","","22.1","","","Si"
"WOW","2016-05-02","10:15:08.037","TRADE","22.100","27","596.7","","","","","22.1","","","Si"
"WOW","2016-05-02","10:15:09.242","TRADE","22.100","167","3690.7","","","","","22.1","","","Si"
"WOW","2016-05-02","10:15:09.248","TRADE","22.090","722","15948.98","","","","","22.09","","","XT Si"
"WOW","2016-05-02","10:15:09.248","TRADE","22.090","421","9299.89","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:09.248","TRADE","22.090","220","4859.8","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:09.248","TRADE","22.090","249","5500.41","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:09.248","TRADE","22.090","180","3976.2","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:09.248","TRADE","22.090","129","2849.61","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:09.383","TRADE","22.080","17","375.36","","","","","22.08","","","Si"
"WOW","2016-05-02","10:15:09.959","TRADE","22.090","82","1811.38","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:10.157","TRADE","22.090","142","3136.78","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:10.157","TRADE","22.090","4","88.36","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:10.157","TRADE","22.090","234","5169.06","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:10.946","TRADE","22.090","443","9785.87","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:20.204","TRADE","22.090","269","5942.21","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:20.204","TRADE","22.090","53","1170.77","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:20.204","TRADE","22.090","103","2275.27","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:20.204","TRADE","22.090","120","2650.8","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:20.204","TRADE","22.090","220","4859.8","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:20.204","TRADE","22.090","33","728.97","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:20.205","TRADE","22.090","887","19593.83","","","","","22.09","","","XT Si"
"WOW","2016-05-02","10:15:30.892","TRADE","22.090","1535","33908.15","","","","","22.09","","","XT Si"
"WOW","2016-05-02","10:15:31.710","TRADE","22.080","50","1104","","","","","22.08","","","Si"
"WOW","2016-05-02","10:15:31.714","TRADE","22.080","202","4460.16","","","","","22.08","","","Si"
"WOW","2016-05-02","10:15:31.714","TRADE","22.080","50","1104","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:15:31.842","TRADE","22.080","138","3047.04","","","","","22.08","","","Si"
"WOW","2016-05-02","10:15:31.967","TRADE","22.080","141","3113.28","","","","","22.08","","","Si"
"WOW","2016-05-02","10:15:32.100","TRADE","22.080","181","3996.48","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:15:41.762","TRADE","22.090","33","728.97","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:41.762","TRADE","22.090","120","2650.8","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:41.762","TRADE","22.090","10","220.9","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:41.876","TRADE","22.090","97","2142.73","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:41.896","TRADE","22.090","453","10006.77","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:42.081","TRADE","22.090","100","2209","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:44.711","TRADE","22.090","145","3203.05","","","","","22.09","","","XT Si"
"WOW","2016-05-02","10:15:44.711","TRADE","22.090","168","3711.12","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:44.711","TRADE","22.090","298","6582.82","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:46.800","TRADE","22.080","181","3996.48","","","","","22.08","","","Si"
"WOW","2016-05-02","10:15:46.800","TRADE","22.080","234","5166.72","","","","","22.08","","","Si"
"WOW","2016-05-02","10:15:47.319","TRADE","22.070","223","4921.61","","","","","22.07","","","Si"
"WOW","2016-05-02","10:15:47.319","TRADE","22.070","541","11939.87","","","","","22.07","","","Si"
"WOW","2016-05-02","10:15:47.319","TRADE","22.070","250","5517.5","","","","","22.07","","","Si"
"WOW","2016-05-02","10:15:47.319","TRADE","22.070","421","9291.47","","","","","22.07","","","Si"
"WOW","2016-05-02","10:15:47.319","TRADE","22.070","181","3994.67","","","","","22.07","","","Si"
"WOW","2016-05-02","10:15:55.376","TRADE","22.080","22","485.76","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:15:55.376","TRADE","22.080","23","507.84","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:15:55.376","TRADE","22.080","120","2649.6","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:15:55.376","TRADE","22.090","124","2739.16","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:15:55.376","TRADE","22.090","669","14778.21","","","","","22.09","","","Si"
"WOW","2016-05-02","10:15:56.004","TRADE","22.070","110","2427.7","","","","","22.07","","","Si"
"WOW","2016-05-02","10:16:06.022","TRADE","22.080","319","7043.52","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:16:06.022","TRADE","22.080","120","2649.6","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:16:06.022","TRADE","22.080","92","2031.36","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:16:06.022","TRADE","22.080","29","640.32","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:16:06.022","TRADE","22.080","51","1126.08","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:16:06.022","TRADE","22.090","136","3004.24","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:16:06.022","TRADE","22.090","87","1921.83","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:16:06.023","TRADE","22.090","1154","25491.86","","","","","22.09","","","Si"
"WOW","2016-05-02","10:16:06.136","TRADE","22.070","165","3641.55","","","","","22.07","","","Bi"
